User_id,Long,Lat,Time
1,72.97532573,19.18584374,6
2,72.97538474,19.18592632,6
3,72.97527102,19.1858863,6
4,72.97520557,19.18586502,6
5,72.9753944,19.18592632,6
6,72.97541103,19.18588579,6
7,72.97535202,19.18586147,6
8,72.97545448,19.18589593,6
9,72.97525331,19.18585185,6
10,72.97532895,19.18587363,6
11,72.97539628,19.18589542,6
12,72.9754232,19.18590368,6
13,72.97528118,19.18585938,6
14,72.97541797,19.18592575,6
15,72.97543168,19.18587965,6
16,72.9754113,19.18594501,6
17,72.97542658,19.18589434,6
18,72.9754007,19.18598744,6
19,72.97547352,19.18589352,6
20,72.97545689,19.18589909,6
21,72.97557116,19.1859457,6
22,72.97552904,19.18593304,6
23,72.97549515,19.18592418,6
24,72.97545599,19.18591405,6
25,72.975434,19.1859067,6
26,72.9754281,19.18588998,6
27,72.97549247,19.18592279,6
28,72.97564696,19.18594204,6
29,72.97565903,19.18594109,6
30,72.97575988,19.18596693,6
31,72.97577403,19.18600062,6
32,72.97565602,19.18596769,6
33,72.97568928,19.18596414,6
34,72.97568659,19.18596161,6
35,72.97571073,19.18596971,6
36,72.97568123,19.18594134,6
37,72.97565253,19.18593336,6
38,72.97568257,19.18593741,6
39,72.97567238,19.18593513,6
40,72.97572455,19.18597144,6
41,72.97572937,19.18597448,6
42,72.97576854,19.18598613,6
43,72.97583452,19.18600336,6
44,72.97585919,19.18601045,6
45,72.97587582,19.18600792,6
46,72.97588172,19.18599373,6
47,72.97586563,19.18598968,6
48,72.9758828,19.18599728,6
49,72.97588977,19.18600083,6
50,72.97584042,19.1860026,6
51,72.97581467,19.1860406,6
52,72.97580287,19.18603705,6
53,72.97578838,19.18602439,6
54,72.97581413,19.18602515,6
55,72.9758207,19.18604991,6
56,72.97583792,19.18604085,6
57,72.97584221,19.18602983,6
58,72.97581593,19.18604288,6
59,72.97581713,19.1860292,6
60,72.97607351,19.1860507,6
61,72.97608317,19.1860474,6
62,72.97606359,19.18604512,6
63,72.97605393,19.18604335,6
64,72.97605635,19.18603727,6
65,72.97608277,19.18604639,6
66,72.97607874,19.1860439,6
67,72.97609511,19.18605936,6
68,72.97610235,19.18606594,6
69,72.97610785,19.1860624,6
70,72.97611428,19.18606265,6
71,72.97611536,19.18605657,6
72,72.976123,19.18605733,6
73,72.97613051,19.18606252,6
74,72.97612997,19.18606658,6
75,72.97613427,19.18606784,6
76,72.97613748,19.18606848,6
77,72.9761458,19.18606556,6
78,72.97615452,19.18606962,6
79,72.97615438,19.18607215,6
80,72.97606024,19.18608038,6
81,72.97601518,19.1860667,6
82,72.9760656,19.1860819,6
83,72.97608116,19.18608596,6
84,72.97609618,19.18609102,6
85,72.97613266,19.18610014,6
86,72.97619542,19.18611787,6
87,72.97625175,19.18613459,6
88,72.9762555,19.18612041,6
89,72.97625604,19.18611635,6
90,72.97626248,19.1860966,6
91,72.97624531,19.18615081,6
92,72.97623994,19.1861655,6
93,72.97624368,19.18615335,6
94,72.97623295,19.18618628,6
95,72.97626728,19.18613866,6
96,72.97630302,19.18614689,6
97,72.9763733,19.18616614,6
98,72.97641353,19.18617577,6
99,72.9766265,19.18621427,6
100,72.97666941,19.18622846,6
101,72.97669838,19.1862315,6
102,72.97671447,19.18624214,6
103,72.97673014,19.18623641,6
104,72.97670654,19.18622881,6
105,72.97662232,19.18626124,6
106,72.97665343,19.18626884,6
107,72.97668213,19.18627643,6
108,72.97661937,19.18625845,6
109,72.9765965,19.18625915,6
110,72.97664585,19.18626067,6
111,72.97671988,19.18628346,6
112,72.97659757,19.18625408,6
113,72.97661313,19.18625357,6
114,72.9765902,19.18624578,6
115,72.97659073,19.1862594,6
116,72.97657893,19.18624116,6
117,72.97677098,19.18630044,6
118,72.97675596,19.18630601,6
119,72.97679485,19.18631716,6
120,72.97672149,19.18633581,6
121,72.97672578,19.18632567,6
122,72.97672685,19.18631554,6
123,72.97673195,19.18631351,6
124,72.97673007,19.1863087,6
125,72.97673396,19.18630832,6
126,72.97673141,19.18630452,6
127,72.97673302,19.18629996,6
128,72.97673812,19.18629353,6
129,72.97673866,19.18628289,6
130,72.97674322,19.18627837,6
131,72.97674053,19.18629154,6
132,72.97673812,19.18629661,6
133,72.97673517,19.18630421,6
134,72.97673249,19.18631383,6
135,72.97672873,19.18632346,6
136,72.97673312,19.18629765,6
137,72.97673701,19.18628574,6
138,72.97676831,19.18619129,6
139,72.97676724,19.18620117,6
140,72.97676161,19.18621054,6
141,72.97676348,19.18621282,6
142,72.97675973,19.18621662,6
143,72.9767655,19.1862113,6
144,72.97674405,19.18626868,6
145,72.97674486,19.18626171,6
146,72.97675009,19.18626032,6
147,72.97674768,19.18255504,6
148,72.97675269,19.1862489,6
149,72.97675242,19.18624232,6
150,72.97675135,19.18624257,6
151,72.97675242,19.18624232,6
